
ACCX_Angle -176.90	ACCY_Angle 168.10		GRYX_Angle 16.92	GYRY_Angle 16.91	GYRZ_Angle 17.02		CFangleX_Angle -175.85	CFangleY_Angle 168.54		HEADING  11.04 tiltCompensatedHeading  7.52
ACCX_Angle -176.89	ACCY_Angle 167.37		GRYX_Angle 17.15	GYRY_Angle 17.14	GYRZ_Angle 17.25		CFangleX_Angle -175.88	CFangleY_Angle 168.49		HEADING  11.23 tiltCompensatedHeading  8.19
ACCX_Angle -176.55	ACCY_Angle 167.66		GRYX_Angle 17.36	GYRY_Angle 17.35	GYRZ_Angle 17.46		CFangleX_Angle -175.85	CFangleY_Angle 168.49		HEADING  11.23 tiltCompensatedHeading  6.55
ACCX_Angle -176.64	ACCY_Angle 167.45		GRYX_Angle 17.57	GYRY_Angle 17.56	GYRZ_Angle 17.67		CFangleX_Angle -175.83	CFangleY_Angle 168.45		HEADING  10.78 tiltCompensatedHeading  6.16
ACCX_Angle -176.95	ACCY_Angle 167.64		GRYX_Angle 17.79	GYRY_Angle 17.78	GYRZ_Angle 17.89		CFangleX_Angle -175.88	CFangleY_Angle 168.46		HEADING  10.78 tiltCompensatedHeading  7.46
ACCX_Angle -176.76	ACCY_Angle 167.47		GRYX_Angle 18.02	GYRY_Angle 18.01	GYRZ_Angle 18.12		CFangleX_Angle -175.87	CFangleY_Angle 168.45		HEADING  10.79 tiltCompensatedHeading  6.70
ACCX_Angle -176.82	ACCY_Angle 167.71		GRYX_Angle 18.24	GYRY_Angle 18.23	GYRZ_Angle 18.34		CFangleX_Angle -175.89	CFangleY_Angle 168.48		HEADING  10.79 tiltCompensatedHeading  6.86
ACCX_Angle -176.64	ACCY_Angle 167.39		GRYX_Angle 18.49	GYRY_Angle 18.48	GYRZ_Angle 18.58		CFangleX_Angle -175.84	CFangleY_Angle 168.46		HEADING  10.92 tiltCompensatedHeading  6.41
ACCX_Angle -176.81	ACCY_Angle 167.64		GRYX_Angle 18.73	GYRY_Angle 18.72	GYRZ_Angle 18.83		CFangleX_Angle -175.84	CFangleY_Angle 168.49		HEADING  10.92 tiltCompensatedHeading  7.06
ACCX_Angle -176.80	ACCY_Angle 167.67		GRYX_Angle 18.95	GYRY_Angle 18.94	GYRZ_Angle 19.04		CFangleX_Angle -175.86	CFangleY_Angle 168.50		HEADING  11.06 tiltCompensatedHeading  7.28
ACCX_Angle -177.06	ACCY_Angle 167.66		GRYX_Angle 19.16	GYRY_Angle 19.15	GYRZ_Angle 19.25		CFangleX_Angle -175.93	CFangleY_Angle 168.50		HEADING  11.06 tiltCompensatedHeading  8.40
ACCX_Angle -177.05	ACCY_Angle 167.55		GRYX_Angle 19.38	GYRY_Angle 19.36	GYRZ_Angle 19.52		CFangleX_Angle -175.98	CFangleY_Angle 168.48		HEADING  10.48 tiltCompensatedHeading  7.31
ACCX_Angle -176.88	ACCY_Angle 167.92		GRYX_Angle 19.64	GYRY_Angle 19.62	GYRZ_Angle 19.78		CFangleX_Angle -175.95	CFangleY_Angle 168.58		HEADING  10.48 tiltCompensatedHeading  6.44
ACCX_Angle -177.25	ACCY_Angle 167.27		GRYX_Angle 19.88	GYRY_Angle 19.86	GYRZ_Angle 20.02		CFangleX_Angle -176.02	CFangleY_Angle 168.51		HEADING  11.12 tiltCompensatedHeading  9.62
ACCX_Angle -176.96	ACCY_Angle 167.65		GRYX_Angle 20.14	GYRY_Angle 20.13	GYRZ_Angle 20.28		CFangleX_Angle -176.00	CFangleY_Angle 168.55		HEADING  11.12 tiltCompensatedHeading  8.14
ACCX_Angle -176.92	ACCY_Angle 167.37		GRYX_Angle 20.40	GYRY_Angle 20.38	GYRZ_Angle 20.54		CFangleX_Angle -175.98	CFangleY_Angle 168.52		HEADING  10.75 tiltCompensatedHeading  7.37
ACCX_Angle -177.26	ACCY_Angle 167.83		GRYX_Angle 20.61	GYRY_Angle 20.59	GYRZ_Angle 20.75		CFangleX_Angle -176.07	CFangleY_Angle 168.55		HEADING  10.96 tiltCompensatedHeading  9.01
ACCX_Angle -176.87	ACCY_Angle 167.63		GRYX_Angle 20.85	GYRY_Angle 20.84	GYRZ_Angle 20.99		CFangleX_Angle -176.03	CFangleY_Angle 168.56		HEADING  10.87 tiltCompensatedHeading  7.31
ACCX_Angle -176.76	ACCY_Angle 167.61		GRYX_Angle 21.06	GYRY_Angle 21.05	GYRZ_Angle 21.20		CFangleX_Angle -176.01	CFangleY_Angle 168.54		HEADING  10.94 tiltCompensatedHeading  6.93
ACCX_Angle -176.93	ACCY_Angle 167.12		GRYX_Angle 21.28	GYRY_Angle 21.27	GYRZ_Angle 21.42		CFangleX_Angle -176.01	CFangleY_Angle 168.43		HEADING  11.01 tiltCompensatedHeading  8.04
ACCX_Angle -176.68	ACCY_Angle 167.71		GRYX_Angle 21.51	GYRY_Angle 21.49	GYRZ_Angle 21.65		CFangleX_Angle -175.97	CFangleY_Angle 168.47		HEADING  10.66 tiltCompensatedHeading  6.03
ACCX_Angle -176.91	ACCY_Angle 167.66		GRYX_Angle 21.73	GYRY_Angle 21.71	GYRZ_Angle 21.87		CFangleX_Angle -175.98	CFangleY_Angle 168.48		HEADING  10.62 tiltCompensatedHeading  7.00
ACCX_Angle -177.02	ACCY_Angle 167.38		GRYX_Angle 21.93	GYRY_Angle 21.91	GYRZ_Angle 22.07		CFangleX_Angle -176.03	CFangleY_Angle 168.42		HEADING  11.03 tiltCompensatedHeading  8.42
ACCX_Angle -177.02	ACCY_Angle 167.74		GRYX_Angle 22.13	GYRY_Angle 22.12	GYRZ_Angle 22.28		CFangleX_Angle -176.07	CFangleY_Angle 168.45		HEADING  11.07 tiltCompensatedHeading  8.25
ACCX_Angle -177.03	ACCY_Angle 168.00		GRYX_Angle 22.34	GYRY_Angle 22.33	GYRZ_Angle 22.48		CFangleX_Angle -176.09	CFangleY_Angle 168.53		HEADING  10.93 tiltCompensatedHeading  7.90
